season,start_time,game_date,game_id,tv,home,away,home_abbr,home_id,home_logo_id,home_name,home_total,home_is_winner,home_ap_ranking,home_record,away_abbr,away_id,away_is_winner,away_logo_id,away_name,away_total,away_record,away_ap_ranking
2023-24,10:00 PM ET,2023-11-06,2576900,TNT,Kansas State,USC,KanSt,1457,KansasStateWildcats,Wildcats,69,NA,NA,0-1,USC,1669,TRUE,USCTrojans,Trojans,82,1-0,21
2023-24,7:00 PM ET,2023-11-06,2600101,NA,Kent State,Malone,KentSt,1458,KentStateGoldenFlashes,Golden Flashes,79,TRUE,NA,1-0,Malone,5572,NA,MalonePioneers,Pioneers,58,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2595024,SECN,Kentucky,New Mexico State,Kty,1459,KentuckyWildcats,Wildcats,86,TRUE,16,1-0,NMSt,1532,NA,NewMexicoStateAggies,Aggies,46,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2586321,ESP+,Saint Joseph's,Lafayette,StJoes,1619,SaintJosephsHawks,Hawks,81,TRUE,NA,1-0,Laf,1462,NA,LafayetteLeopards,Leopards,60,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2587575,NA,Lamar,Jarvis Christian,Lamar,1463,LamarCardinals,Cardinals,114,TRUE,NA,1-0,JarChr,1821,NA,JarvisChristianBulldogs,Bulldogs,66,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2602013,NA,Liberty,Mid-Atlantic Christian,Lib,1467,LibertyFlames,Flames,103,TRUE,NA,1-0,MidAtl,28206,NA,MidAtlanticChristianMustangs,Mustangs,43,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2581242,B1G+,Nebraska,Lindenwood,Neb,1527,NebraskaCornhuskers,Cornhuskers,84,TRUE,NA,1-0,Linden,5405,NA,LindenwoodLions,Lions,52,0-1,NA
2023-24,7:30 PM ET,2023-11-06,2586329,ESP+,Wichita State,Lipscomb,Wich,1698,WichitaStateShockers,Shockers,76,TRUE,NA,1-0,Lips,2051,NA,LipscombBisons,Bisons,59,0-1,NA
2023-24,8:42 PM ET,2023-11-06,2600208,NA,Little Rock,Texas State,UALR,1294,LittleRockTrojans,Trojans,71,TRUE,NA,1-0,TxSt,1632,NA,TexasStateBobcats,Bobcats,66,0-1,NA
2023-24,10:30 PM ET,2023-11-06,2590382,NA,Portland,Long Beach State,Por,1572,PortlandPilots,Pilots,78,TRUE,NA,1-0,LgBch,1470,NA,LongBeachStateBeach,Beach,73,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2576853,NA,St. Bonaventure,Longwood,StBon,1615,StBonaventureBonnies,Bonnies,73,TRUE,NA,1-0,Lngwd,1991,NA,LongwoodLancers,Lancers,69,0-1,NA
2023-24,8:30 PM ET,2023-11-06,2602079,NA,Louisiana,Youngstown State,UL-Laf,1630,LouisianaRaginCajuns,Ragin' Cajuns,72,TRUE,NA,1-0,YSU,1717,NA,YoungstownStatePenguins,Penguins,62,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2602083,ESP+,Louisville,UMBC,Lou,1472,LouisvilleCardinals,Cardinals,94,TRUE,NA,1-0,UMBC,1491,NA,UMBCRetrievers,Retrievers,93,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2590346,ESP+,LSU,Mississippi Valley State,LSU,1476,LSUTigers,Tigers,106,TRUE,NA,1-0,MsVl,1504,NA,MississippiValleyStateDeltaDevils,Delta Devils,60,0-1,NA
2023-24,8:30 PM ET,2023-11-06,2572331,FS1,Marquette,Northern Illinois,Marq,1484,MarquetteGoldenEagles,Golden Eagles,92,TRUE,5,1-0,NIU,1543,NA,NorthernIllinoisHuskies,Huskies,70,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2590183,ESP+,Marshall,Queens University,Marsh,1486,MarshallThunderingHerd,Thundering Herd,89,TRUE,NA,1-0,QueeNC,2009,NA,QueensUniversityRoyals,Royals,73,0-1,NA
2023-24,7:30 PM ET,2023-11-06,2599429,ESP+,Temple,Maryland Eastern Shore,Temple,1644,TempleOwls,Owls,85,TRUE,NA,1-0,Md-ES,1492,NA,MarylandEasternShoreHawks,Hawks,65,0-1,NA
